drugID;indication
DAP000270;High cholesterol levels, High triglyceride levels
DAP000271;Diabetes mellitus
DAP000272;Diabetes mellitus
DAP000273;Pulmonary arterial hypertension
DAP000274;Open-angle glaucoma, Ocular hypertension
DAP000275;Kaposi's sarcoma
DAP000276;Cutaneous T-cell lymphoma
DAP000277;Cough, Pain
DAP000277;Pain
DAP000278;Skin cancers
DAP000279;Atrial fibrillation
DAP000280;Open-angle glaucoma, Ocular hypertension
DAP000281;Parkinson's disease
DAP000281;Parkinson's disease
DAP000282;Parkinson's disease
DAP000283;Pain
DAP000284;Adrenocortical insufficiency
DAP000285;Acute cardiac ischemic events
DAP000286;Acromegaly
DAP000287;Growth failure
DAP000287;IGF-1 deficiency
DAP000288;Dietary shortage
DAP000288;Neuropathic pain
DAP000289;Vitamin D deficiency
DAP000290;Vitamin D deficiency
DAP000291;Hypoparathyroidism
DAP000292;Psoriasis
DAP000293;Depression
DAP000293;Major depressive disorder
DAP000294;Emesis
DAP000294;Psychoses
DAP000295;Nausea, Vomiting
DAP000296;Anesthesia
DAP000296;HIV infections
DAP000297;Congestive heart failure
DAP000298;Drug dependence
DAP000298;Mydriasis
DAP000299;Dermal necrosis
DAP000299;Erectile dysfunction
DAP000300;Hypertension
DAP000300;Prostate hyperplasia
DAP000301;Prostate cancer
DAP000302;Prostate cancer
DAP000303;Glaucoma
DAP000303;Open-angle glaucoma
DAP000304;Acute supraventricular tachycardia
DAP000304;Heart arrhythmia
DAP000305;Hypertension
DAP000306;Cerebral vasospasm
DAP000307;Obesity
DAP000308;Chronic obstructive pulmonary disease
DAP000308;HIV infections
DAP000308;Human immunodeficiency virus infection
DAP000309;Asthma
DAP000310;Schizophrenia
DAP000311;Major depressive disorder
DAP000311;Psychotic disorders
DAP000312;Schizophrenia
DAP000313;Schizophrenia
DAP000314;Photodynamic therapy
DAP000315;Emesis
DAP000315;Nausea, Vomiting
DAP000316;Anxiety disorder
DAP000316;Schizophrenia
DAP000317;Dyspepsia
DAP000317;Gastrointestinal problems
DAP000318;Anxiety disorder
DAP000318;Schizophrenia
DAP000319;Breast cancer
DAP000319;Breast cancer
DAP000320;Asthma, Non-infectious rhinitis
DAP000321;Aphthous ulcers
DAP000321;Respiratory tract inflammation
DAP000322;Allergic rhinitis
DAP000323;Allergic rhinitis
DAP000324;Anxiety disorder
DAP000325;Vertigo meniere's disease
DAP000326;Allergic rhinitis
DAP000326;Allergic rhinitis
DAP000327;Anxiety disorder
DAP000327;Insomnia
DAP000328;Allergic rhinitis
DAP000328;Asthma
DAP000329;Allergic conjunctivitis
DAP000330;Allergic rhinitis
DAP000331;Allergic rhinitis
DAP000332;Allergic conjunctivitis
DAP000333;Emesis
DAP000333;Nausea, Vomiting
DAP000334;Allergic disorders, Itching, Nausea and vomiting
DAP000335;Allergic conjunctivitis
DAP000336;Allergic rhinitis, Urticaria
DAP000337;Motion sickness
DAP000337;Nausea, Vomiting
DAP000338;Acid-reflux disorders
DAP000339;Acid-reflux disorders
DAP000340;Peptic ulcer disease
DAP000341;Peptic ulcer disease
DAP000342;Overactive bladder disorder
DAP000342;Spasm
DAP000343;Amnesia
DAP000343;Nausea, Addiction
DAP000344;Chronic obstructive pulmonary disease
DAP000345;Diagnosis of mydriasis
DAP000345;Salivary gland disease
DAP000346;Parkinson's disease
DAP000347;Glaucoma
DAP000348;Narcotic depression
DAP000349;Anesthesia
DAP000349;General anesthesia
DAP000350;Anesthesia
DAP000350;General anesthesia
DAP000351;Anesthesia
DAP000351;Smoking withdrawl syndrom
DAP000352;Anesthesia
DAP000353;Anesthesia
DAP000353;Spasms, Pain
DAP000354;Spasms, Pain
DAP000355;Spasms, Pain
DAP000356;Anesthesia
DAP000357;Anesthesia
DAP000358;Medical abortion
DAP000358;Planned abortion
DAP000359;Erectile dysfunction
DAP000360;Medical abortion
DAP000361;Edema
DAP000361;Edema associated with congestive heart failure
DAP000362;Nausea, Vomiting
DAP000363;Hypertension
DAP000364;Hypertension
DAP000365;Hypocalcemia, Hypoparathyroidism
DAP000365;Hypoparathyroidism
DAP000366;Migraine
DAP000366;Migraine headaches
DAP000367;Nausea, Vomiting
DAP000368;Nausea, Vomiting
DAP000369;Irritable bowel syndrome
DAP000370;Benign prostatic hyperplasia
DAP000371;Benign prostatic hyperplasia
DAP000371;Hypertension
DAP000372;Maintenance of normal sinus rhythm
DAP000373;Nausea, Vomiting
DAP000374;Emesis
DAP000374;Schizophrenia
DAP000375;Psychotic disorders
DAP000376;Overactive bladder disorder
DAP000376;Urinary incontinence
DAP000377;Organophosphate poisoning
DAP000377;Poison intoxication
DAP000378;Muscle Relaxant
DAP000379;Alcohol use disorders
DAP000379;Opiate dependence
DAP000380;Pain
DAP000381;Hypertension
DAP000382;Hematologic malignancies
DAP000382;Non-Hodgkin's lymphoma
DAP000383;Non-Hodgkin's lymphoma
DAP000384;Non-Hodgkin's lymphoma
DAP000385;Chronic lymphocytic leukaemia
DAP000385;Multiple sclerosis
DAP000386;Respiratory syncytial virus 
DAP000387;Asthma
DAP000387;Chronic idiopathic urticaria
DAP000388;Organ transplant rejection
DAP000389;Organ transplant rejection
DAP000390;Acute myeloid leukemia
DAP000391;Asthma
DAP000391;Breast cancer
DAP000392;Rheumatold arthritis
DAP000393;Colorectal cancer
DAP000393;Ovarian cancer, Breast cancer, Non-small cell lung cancer, Colon cancer, Gastric cancerand prostate cancer
DAP000393;Relapsed/refractory multiple myeloma, Extensive small-cell lung cancer
DAP000394;Colorectal cancer
DAP000395;Non-myeloid cancer
DAP000396;Osteogenesis imperfecta
DAP000397;Acromegaly
DAP000398;Bacterial infection
DAP000400;Bacterial infection
DAP000401;Acne vulgaris
DAP000401;Bacterial infection
DAP000402;Acne vulgaris
DAP000402;Bacterial infection
DAP000403;Bacterial infection
DAP000403;Neisseria gonorrhoeae infection
DAP000404;Bacterial infection
DAP000404;Staphylococcus aureus infection
DAP000405;Bacterial infection
DAP000406;Bacterial infection
DAP000407;Acute and chronic intestinal amebiasis
DAP000408;Bacterial infection
DAP000409;Bacterial infection
DAP000410;Bacterial infection
DAP000411;Bacterial infection
DAP000412;Emesis
DAP000412;Nausea, Vomiting
DAP000413;Psychiatric disorders
DAP000413;Psychotic disorders
DAP000414;Erectile dysfunction
DAP000415;Inflammatory diseases
DAP000416;Asthma, Allergic rhinitis
DAP000417;Allergy
DAP000418;Inflammatory diseases
DAP000419;Asthma, Rheumatoid arthritis
DAP000420;Eye Inflammation
DAP000421;Inflammatory diseases
DAP000422;Diabetic macular edema
DAP000422;Inflammatory diseases
DAP000423;Asthma
DAP000423;Obstructive airway diseases
DAP000424;Cushing's disease
DAP000424;Cushing's disease
DAP000425;Acute diarrhea
DAP000426;Mycobacterium tuberculosis infection
DAP000426;Tuberculosis
DAP000427;Insomnia
DAP000428;Deep vein thrombosis
DAP000429;Insomnia
DAP000429;Sleep disorders
DAP000430;Emesis
DAP000430;Psychomotor agitation
DAP000431;Bacterial infection
DAP000432;Bacterial infection
DAP000433;Bacterial infection
DAP000433;Infectious disease
DAP000434;Bacterial infection
DAP000434;Otitis media
DAP000435;Bacterial infection
DAP000435;Pneumonia
DAP000436;Bacterial infection
DAP000437;Bacterial infection
DAP000437;Urinary tract infections
DAP000438;Bacterial infection
DAP000439;Bacterial infection
DAP000439;Escherichia coli infection
DAP000440;Bacterial infection
DAP000440;Bacterial respiratory tract infection
DAP000441;Bacterial infection
DAP000442;Bacterial infection
DAP000443;Bacterial infection
DAP000444;Bacterial infection
DAP000445;Bacterial infection
DAP000445;Infectious disease
DAP000446;Bacterial infection
DAP000447;Bacterial infection
DAP000448;Bacterial infection
DAP000449;Bacterial infection
DAP000450;Bacterial infection
DAP000450;Endometriosis
DAP000451;Bacterial infection
DAP000452;Bacterial infection
DAP000452;Bacteroides fragilis infection
DAP000453;Bacterial infection
DAP000454;Bacterial infection
DAP000454;Otitis media
DAP000455;Bacterial infection
DAP000456;Bacterial infection
DAP000457;Bacterial infection
DAP000458;Bacterial infection
DAP000458;Escherichia coli infection
DAP000459;Bacterial infection
DAP000460;Bacterial infection
DAP000461;Leukemia
DAP000462;Acne vulgaris
DAP000462;Psoriasis
DAP000463;Depression
DAP000464;Congestive cardiac insufficiency, Arrhythmias, Heart failure
DAP000464;Congestive heart failure
DAP000465;Atrial fibrillation, Heart failure
DAP000466;Fungal infection
DAP000467;Atopic dermatitis
DAP000467;Hyperhidrosis
DAP000468;Chronic obstructive pulmonary disease
DAP000469;Acute myocardial infarction
DAP000469;Arterial thrombosis
DAP000470;Cancers
DAP000471;Pheochromocytoma
DAP000472;HIV-1 infections
DAP000472;Pain
DAP000473;Angina
DAP000474;Dietary shortage
DAP000475;Cerebral infarction
DAP000475;Depression
DAP000476;Brain diseases
DAP000476;Schizophrenia
DAP000477;Peripheral vasoconstriction
DAP000477;Pulmonary hypertension
DAP000478;Hypertension
DAP000479;Hypertension
DAP000480;Angina
DAP000480;Open-angle glaucoma, Ocular hypertension
DAP000481;Angina
DAP000481;Hypertension
DAP000482;Hypertension
DAP000483;Hypertension
DAP000484;Angina
DAP000484;Hypertension
DAP000485;Angina
DAP000485;Hypertension
DAP000486;High blood pressure, Angina
DAP000487;Hypertension
DAP000488;HIV infections
DAP000488;Viral infections
DAP000489;Hepatitis B virus infection
DAP000489;Viral infections
DAP000490;Allergic rhinitis
DAP000490;Vertigo meniere's disease
DAP000491;Malaria
DAP000492;Duodenal ulcer
DAP000492;Peptic ulcer disease
DAP000493;Alzheimer's disease
DAP000493;Autism
DAP000493;Neuropathic pain
DAP000493;Parkinson's disease
DAP000494;Depression
DAP000495;Maintenance of normal sinus rhythm
DAP000496;Tachyarrhythmias
DAP000497;Tachyarrhythmias
DAP000498;Edema
DAP000498;Hypertension
DAP000499;Malignant hyperthermia
DAP000500;Epilepsy
DAP000500;Seizures
DAP000501;Epilepsy
DAP000502;Epilepsy
DAP000503;Dysrhythmias
DAP000503;Heart arrhythmia
DAP000504;Urinary incontinence
DAP000504;Ventricular arrhythmias
DAP000505;Ventricular arrhythmias
DAP000506;Anesthesia
DAP000507;Anesthesia
DAP000507;Hemorrhoids
DAP000508;Epilepsy
DAP000509;Anesthesia
DAP000509;Pain
DAP000510;Heart arrhythmia
DAP000510;Irregular heartbeats
DAP000511;Anesthesia
DAP000511;Pain
DAP000512;Complex partial seizures
DAP000512;Epilepsy
DAP000513;Anesthesia
DAP000514;Cough
DAP000515;Ventricular arrhythmias
DAP000516;Ventricular arrhythmias
DAP000517;Ventricular arrhythmias
DAP000518;Tachyarrhythmias
DAP000519;Heart arrhythmia
DAP000519;Irregular heartbeats
DAP000520;Cerebrovascular ischaemia
DAP000520;Seizures
DAP000521;Edema
DAP000521;Hypertension
DAP000522;Diabetes mellitus
DAP000523;Hypertension
DAP000524;Hypertension
DAP000525;Chronic stable angina
DAP000526;Epilepsy
DAP000526;Seizures
DAP000527;Amyotrophic lateral sclerosis
DAP000528;Epilepsy
DAP000529;Angina pectoris
DAP000530;Emesis
DAP000530;Nausea, Vomiting
DAP000531;Cancer
DAP000531;Hodgkin's lymphoma
DAP000532;Cancers
DAP000533;Cancer
DAP000533;Malignant melanoma
DAP000534;Amebiasis
DAP000535;Ovarian carcinoma
DAP000536;Cancer
DAP000536;Cancers
DAP000537;Cancers
DAP000538;Dietary supplement
DAP000539;Dermatological disease
DAP000539;Ringworm infections
DAP000540;Pain
DAP000541;Thrombocytopenia
DAP000542;Thrombocytopenia
DAP000543;Burns and burn infection
DAP000543;Dietary shortage
DAP000544;Vitamin K deficiency
DAP000545;Dietary shortage
DAP000546;Convulsions
DAP000546;Fungal infection
DAP000547;Fungal infection
DAP000548;Candidiasis infection
DAP000548;Fungal infection
DAP000549;Infertility
DAP000550;Hypercholesterolemia
DAP000551;Hypercholesterolemia
DAP000552;Hypercholesterolemia
DAP000553;Hypercholesterolemia
DAP000554;Hypercholesterolemia
DAP000555;Elevated CRP
DAP000555;Hypercholesterolemia
DAP000556;Seizures
DAP000557;Epilepsy, Infantile spasms, Complex partial seizures
DAP000558;Alzheimer's disease
DAP000559;Alzheimer's disease
DAP000560;Alzheimer's disease
DAP000561;Glaucoma
DAP000562;Diagnosis of myasthenia gravis
DAP000563;Myasthenia gravis
DAP000564;Hypercalcemia
DAP000565;Hairy cell leukemia
DAP000566;Hairy cell leukemia
DAP000567;Hematological malignancies
DAP000568;Athylene glycol or methanol poisoning
DAP000569;Ankylosing spondylitis
DAP000569;Rheumatold arthritis
DAP000570;Allergic rhinitis
DAP000570;Colon cancer
DAP000571;Attention deficit hyperactivity disorder
DAP000572;Attention deficit hyperactivity disorder
DAP000573;Attention deficit hyperactivity disorder
DAP000574;Obesity
DAP000575;Congestive heart failure
DAP000575;Hypertension, Edema
DAP000576;Depression
DAP000577;Depression
DAP000577;Major depressive disorder
DAP000578;Anxiety disorder
DAP000578;Depression
DAP000579;Parkinson's disease
DAP000580;Hypertension
DAP000581;Congestive heart failure, Hypertension
DAP000582;Hypertension
DAP000583;Hypertension
DAP000584;Hypertension
DAP000585;Hypertension
DAP000586;Hypertension
DAP000587;Hypertension
DAP000588;Hypertension
DAP000589;Hypertension
DAP000590;Cancers
DAP000591;Asthma
DAP000592;Parkinson's disease
DAP000592;Parkinson's disease
DAP000593;Glaucoma
DAP000593;Open-angle glaucoma
DAP000594;Atopic dermatitis
DAP000595;Hypertension
DAP000596;Acute bronchial asthma
DAP000596;Asthma
DAP000597;Asthma
DAP000598;Glaucoma, Duodenal ulcers
DAP000599;Chronic and acute open-angle glaucoma
DAP000600;Glaucoma
DAP000601;Chronic glaucoma
DAP000602;Open-angle glaucoma, Ocular hypertension
DAP000603;Edema
DAP000603;High blood pressure
DAP000604;Edema
DAP000604;Edema associated with congestive heart failure
DAP000605;Congestive heart failure
DAP000605;Edema associated with congestive heart failure
DAP000606;Insomnia
DAP000607;Parkinson's disease
DAP000608;Parkinson's disease
DAP000609;Type 1 Gaucher disease
DAP000610;Congestive heart failure
DAP000610;Hypertension
DAP000611;Congestive heart failure
DAP000612;Thrombocythemia
DAP000613;Asthma
DAP000613;Bronchial asthma
DAP000614;Erectile dysfunction
DAP000615;Erectile dysfunction
DAP000616;Venous thrombosis
DAP000617;Patent ductus arteriosus
DAP000618;Pain
DAP000619;Ankylosing spondylitis
DAP000619;Rheumatold arthritis
DAP000620;Rheumatold arthritis
DAP000621;Rheumatold arthritis
DAP000622;Inflammatory diseases
DAP000622;Osteoarthritis
DAP000623;Rheumatold arthritis, Pain
DAP000624;Advanced breast cancer
DAP000625;Hormonally-responsive breast cancer
DAP000626;Hormonally-responsive breast cancer
DAP000627;Breast cancer
DAP000628;Fungal infection
DAP000629;Candida infection
DAP000629;Fungal infection
DAP000630;Fungal infection
DAP000630;Fungal infection
DAP000631;Fungal infection
DAP000632;Bacterial infection
DAP000633;Acute malaria
DAP000634;Malaria
DAP000635;Pneumocystis pneumonia
DAP000636;Active rheumatoid arthritis
DAP000636;Multiple sclerosis
DAP000637;Pneumocystis carinii pneumonia
